,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,1,1,1,3.0,4.0,44,27.0,21.0,7,3.22,3.19,3.18,3.54,242.879,245.649,247.716,209.530,1
2,37,2,24,16,11.0,9.0,30,26.0,17.0,11,3.43,3.27,3.28,4.14,219.205,236.439,235.397,192.871,100
3,35,2,20,20,15.0,22,25,28.0,21.0,19.0,3.42,3.28,3.29,3.32,220.868,235.123,234.390,230.914,14
4,32,2,22,24,21.0,16,43,26.0,18.0,25,3.35,3.30,3.30,3.27,227.174,233.203,232.871,236.392,19
5,40,2,32,25,16.0,24.0,21,21.0,21.0,6,3.49,3.31,3.29,4.28,213.334,232.161,234.313,182.805,100
6,24,2,18,10,8.0,13,32,25.0,14.0,19,3.34,3.30,3.26,3.27,228.412,232.701,237.173,236.615,7
7,8,1,3,1,59.0,5.0,37,31.0,2.0,8,3.22,3.17,,3.57,241.714,248.662,nan,206.608,1
8,47,2,10,17,17.0,14.0,34,28.0,18.0,8,3.39,3.27,3.30,4.20,223.902,235.842,233.624,188.577,18
9,36,2,11,14,13.0,17.0,30,28.0,19.0,4,3.39,3.26,3.28,4.22,223.303,237.339,234.919,186.659,6
10,34,2,29,27,25.0,26.0,39,20.0,17.0,7,3.46,3.33,3.33,4.30,216.974,229.485,229.552,181.116,45
11,17,2,28,3,28.0,1,46,24.0,22.0,16,3.39,3.19,3.36,3.16,223.215,245.903,226.769,250.070,100
12,29,2,25,19,24.0,15,42,30.0,19.0,23,3.37,3.28,3.31,3.27,225.397,235.205,231.691,236.535,26
13,21,2,12,20,20.0,21,30,18.0,17.0,20,3.32,3.34,3.30,3.29,230.901,229.223,233.230,233.888,14
14,33,2,13,28,30.0,22.0,39,23.0,3.0,4,3.40,3.35,3.42,4.25,222.695,227.905,220.102,184.711,12
15,31,2,18,13,10.0,9,37,18.0,19.0,23,3.42,3.26,3.27,3.25,220.895,237.538,236.382,238.509,100
16,97,3,47,48,31.0,33.0,47,26.0,12.0,6,3.57,3.52,3.51,4.40,206.624,210.995,211.612,175.126,44
17,67,3,38,38,43.0,34.0,31,24.0,22.0,5,3.55,3.50,3.53,4.43,208.398,212.879,210.523,173.066,23
18,63,3,43,44,41.0,30,28,23.0,20.0,21,3.56,3.50,3.52,3.48,207.469,212.547,210.679,214.366,28
20,71,3,39,42,42.0,35,32,27.0,21.0,18,3.55,3.50,3.52,3.49,208.339,212.657,210.664,213.842,100
21,68,3,36,34,40.0,20.0,32,22.0,16.0,7,3.54,3.49,3.52,4.24,208.879,213.664,210.915,185.727,100
