,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,77,45,45,51,45,21,22.0,20.0,13,3:55.304,3:53.408,3:54.008,3:51.645,208.469,210.162,209.623,211.761,34
1,54,46,48,44,49,28,19.0,19.0,20,3:55.686,3:53.793,3:52.826,3:52.879,208.131,209.816,210.687,210.639,43
2,98,47,47,60,54,31,26.0,21.0,20,3:55.714,3:53.530,3:56.136,3:53.698,208.106,210.052,207.734,209.901,DNF
3,78,48,51,56,48,20,21.0,17.0,21,3:56.046,3:54.324,3:54.942,3:52.434,207.813,209.34,208.79,211.043,36
4,88,49,40,52,43,29,23.0,20.0,16,3:56.282,3:52.454,3:54.107,3:51.439,207.606,211.024,209.534,211.95,DNF
5,84,51,52,61,47,21,23.0,16.0,18,3:57.017,3:54.513,3:56.154,3:52.423,206.962,209.172,207.718,211.053,32
6,86,52,54,49,46,20,24.0,18.0,9,3:57.137,3:55.033,3:53.571,3:51.944,206.857,208.709,210.015,211.488,38
7,83,53,59,54,56,32,24.0,21.0,23,3:57.463,3:56.333,3:54.363,3:54.083,206.573,207.561,209.306,209.556,39
8,57,54,56,47,59,29,21.0,22.0,20,3:57.480,3:56.034,3:53.474,3:54.928,206.558,207.824,210.103,208.802,35
9,70,55,53,58,55,26,27.0,21.0,23,3:57.991,3:54.737,3:55.906,3:54.051,206.115,208.972,207.937,209.585,41
10,62,56,55,53,53,18,25.0,23.0,20,3:58.280,3:55.544,3:54.350,3:53.630,205.865,208.256,209.317,209.962,33
11,56,57,42,57,50,26,20.0,20.0,20,3:58.326,3:52.750,3:55.011,3:53.135,205.825,210.756,208.728,210.408,31
12,90,58,50,55,52,24,22.0,19.0,21,3:58.522,3:53.974,3:54.542,3:53.606,205.656,209.654,209.146,209.984,42
13,61,59,57,59,57,21,22.0,24.0,24,3:58.933,3:56.072,3:56.120,3:54.799,205.302,207.79,207.748,208.917,37
14,85,60,60,48,58,15,23.0,12.0,9,3:59.660,3:56.579,3:53.492,3:54.815,204.679,207.345,210.086,208.903,DSQ
15,60,61,58,50,51,27,22.0,22.0,22,3:59.948,3:56.147,3:53.990,3:53.528,204.43400000000003,207.724,209.639,210.054,46
16,99,62,62,62,,8,,,,4:00.472,4:00.472,,,203.988,203.988,,,
