,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,93,30,37,30,30,39,18,13,18.0,3:50.121,3:50.261,3:49.621,3:49.589,213.164,213.034,213.628,213.658,27
1,92,31,32,31,40,45,23,14,15.0,3:50.859,3:49.097,3:51.101,3:51.631,212.482,214.117,212.26,211.774,15
2,91,32,31,32,32,45,2,12,17.0,3:50.862,3:47.504,3:51.150,3:50.141,212.48,215.616,212.215,213.145,16
3,69,38,40,34,31,30,21,13,16.0,3:51.898,3:50.593,3:52.298,3:49.761,211.53,212.728,211.166,213.498,39
4,52,41,47,35,37,51,27,12,20.0,3:52.944,3:52.112,3:52.572,3:50.957,210.581,211.335,210.917,212.392,20
5,66,33,33,36,33,39,26,8,20.0,3:51.498,3:49.181,3:52.849,3:50.166,211.896,214.038,210.666,213.122,21
6,64,42,45,37,38,47,27,12,21.0,3:53.048,3:50.952,3:52.923,3:51.124,210.487,212.397,210.6,212.239,DNF
7,63,43,44,38,34,46,23,12,20.0,3:53.397,3:50.789,3:52.994,3:50.242,210.172,212.547,210.535,213.052,18
8,51,36,35,39,29,34,26,12,20.0,3:51.738,3:49.854,3:53.032,3:49.494,211.676,213.411,210.501,213.746,22
9,68,37,34,40,36,37,22,11,16.0,3:51.776,3:49.582,3:53.352,3:50.706,211.642,213.664,210.212,212.623,17
10,67,39,38,42,42,47,24,11,20.0,3:52.692,3:50.429,3:53.883,3:52.292,210.80900000000003,212.879,209.735,211.172,36
11,71,34,42,43,35,48,27,13,23.0,3:51.521,3:50.669,3:53.998,3:50.246,211.875,212.657,209.632,213.048,24
12,82,44,39,44,41,43,24,14,23.0,3:53.677,3:50.579,3:53.999,3:52.123,209.92,212.74,209.631,211.325,DNF
13,81,52,41,46,44,39,26,13,20.0,3:54.663,3:50.596,3:55.150,3:53.078,209.038,212.725,208.605,210.46,33
14,97,45,48,47,48,50,26,11,23.0,3:53.727,3:52.486,3:55.424,3:53.534,209.875,210.995,208.362,210.049,37
15,95,51,55,49,47,53,26,11,20.0,3:54.530,3:54.780,3:56.630,3:53.523,209.157,208.93400000000003,207.3,210.058,23
16,94,35,36,60,60,42,21,1,,3:51.695,3:50.089,,,211.716,213.194,,,DNF
