,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,26,17,9,48.0,16.0,48,25,9,8,3:41.410,3:36.605,4:04.887,4:22.328,221.599,226.515,200.355,187.034,6
1,35,20,10,9.0,,25,23,10,,3:42.143,3:37.175,3:39.559,,220.868,225.921,223.467,,DNF
2,36,11,11,13.0,17.0,30,25,15,4,3:39.721,3:37.225,3:40.895,4:22.855,223.303,225.86900000000003,222.116,186.659,5
3,44,21,12,,7.0,32,24,3,10,3:42.866,3:38.037,,4:11.686,220.152,225.027,,194.942,DNF
4,49,19,13,27.0,8.0,39,22,19,9,3:42.119,3:38.837,3:51.759,4:12.280,220.892,224.205,211.704,194.483,14
5,31,18,14,11.0,,37,23,14,,3:42.116,3:39.366,3:40.436,,220.895,223.664,222.578,,42
6,46,14,15,12.0,11.0,40,26,8,11,3:40.455,3:39.375,3:40.611,4:16.988,222.55900000000003,223.655,222.402,190.92,DNF
7,42,15,16,19.0,32.0,31,19,14,3,3:40.976,3:39.394,3:44.142,4:38.254,222.034,223.636,218.898,176.329,8
8,47,10,17,10.0,14.0,34,25,12,8,3:39.133,3:39.436,3:39.562,4:20.181,223.902,223.593,223.46400000000003,188.577,DNF
9,23,12,18,22.0,,42,23,19,4,3:40.308,3:39.470,3:45.018,,222.708,223.558,218.046,,12
10,33,13,19,54.0,22.0,39,16,9,4,3:40.321,3:40.631,4:14.491,4:25.627,222.695,222.382,192.794,184.711,9
11,38,23,20,45.0,,42,19,11,2,3:43.455,3:40.685,4:01.981,,219.571,222.327,202.761,,NC
12,43,25,21,20.0,,34,20,20,,3:44.086,3:40.899,3:44.198,,218.953,222.112,218.844,,15
13,27,22,22,15.0,,37,24,20,4,3:43.407,3:41.132,3:41.457,,219.618,221.878,221.552,,11
14,30,16,23,53.0,,37,24,13,2,3:41.327,3:41.406,4:14.456,,221.682,221.603,192.82,,16
15,28,26,24,14.0,,28,20,8,,3:44.118,3:42.049,3:41.285,,218.922,220.962,221.724,,NC
16,37,24,25,16.0,9.0,30,20,8,11,3:43.828,3:42.147,3:41.776,4:14.389,219.205,220.864,221.234,192.871,7
17,48,28,26,23.0,,26,22,7,,3:45.817,3:43.508,3:45.067,,217.275,219.519,217.999,,34
18,34,29,27,25.0,26.0,39,23,11,7,3:46.130,3:43.590,3:45.711,4:30.900,216.974,219.439,217.377,181.116,43
19,41,30,28,18.0,12.0,37,22,12,11,3:47.135,3:43.915,3:42.570,4:20.041,216.014,219.12,220.444,188.679,10
20,25,27,29,17.0,21.0,26,21,19,3,3:44.983,3:44.185,3:42.088,4:25.507,218.08,218.856,220.923,184.795,17
21,40,32,31,26.0,24.0,21,23,13,6,3:49.988,3:45.213,3:45.978,4:28.397,213.334,217.857,217.12,182.805,22
22,22,31,32,21.0,25.0,28,5,15,10,3:48.953,3:48.585,3:44.347,4:29.210,214.299,214.644,218.698,182.253,32
