,Unnamed: 0,Unnamed: 0.1,Pos,No,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,0,0,1,8,LMP1,31,3:17.270,,,248.662,,
1,1,1,2,7,LMP1,33,3:17.377,+ 0.107,+ 0.107,248.52700000000002,,
2,2,2,3,17,LMP1,24,3:19.483,+ 2.213,+ 2.106,245.903,,
3,3,3,4,1,LMP1,26,3:19.662,+ 2.392,+ 0.179,245.683,,
4,4,4,5,3,LMP1,27,3:19.945,+ 2.675,+ 0.283,245.335,,
5,5,5,6,10,LMP1,13,3:21.110,+ 3.840,+ 1.165,243.91400000000002,,
6,6,6,7,11,LMP1,29,3:21.408,+ 4.138,+ 0.298,243.553,,
7,7,7,8,4,LMP1,24,3:22.505,+ 5.235,+ 1.097,242.234,,
8,8,8,9,48,LMP2,19,3:24.956,+ 7.686,+ 2.451,239.33700000000002,,
9,9,9,10,28,LMP2,26,3:25.240,+ 7.970,+ 0.284,239.00599999999997,,
10,10,10,11,5,LMP1,20,3:26.246,+ 8.976,+ 1.006,237.84,,
11,11,11,12,26,LMP2,29,3:26.447,+ 9.177,+ 0.201,237.608,,
12,12,12,13,31,LMP2,18,3:26.508,+ 9.238,+ 0.061,237.53799999999998,,
13,13,13,14,36,LMP2,28,3:26.681,+ 9.411,+ 0.173,237.33900000000003,,
14,14,14,15,22,LMP2,24,3:26.772,+ 9.502,+ 0.091,237.235,,
15,15,15,16,37,LMP2,26,3:27.468,+ 10.198,+ 0.696,236.43900000000002,,
16,16,16,17,47,LMP2,28,3:27.993,+ 10.723,+ 0.525,235.842,,
17,17,17,18,38,LMP2,27,3:27.999,+ 10.729,+ 0.006,235.835,,
18,18,18,19,29,LMP2,30,3:28.556,+ 11.286,+ 0.557,235.205,,
19,19,19,20,35,LMP2,28,3:28.629,+ 11.359,+ 0.073,235.123,,
20,20,20,21,23,LMP2,27,3:29.421,+ 12.151,+ 0.792,234.234,,
21,21,21,22,39,LMP2,29,3:29.860,+ 12.590,+ 0.439,233.74400000000003,,
22,22,22,23,6,LMP1,17,3:30.339,+ 13.069,+ 0.479,233.21200000000002,,
23,23,23,24,32,LMP2,26,3:30.347,+ 13.077,+ 0.008,233.203,,
24,24,24,25,40,LMP2,21,3:31.291,+ 14.021,+ 0.944,232.16099999999997,,
25,25,25,26,44,LMP2,30,3:33.532,+ 16.262,+ 2.241,229.72400000000002,,
26,26,26,27,34,LMP2,20,3:33.755,+ 16.485,+ 0.223,229.485,,
27,27,27,28,33,LMP2,23,3:35.237,+ 17.967,+ 1.482,227.905,,
28,28,28,29,50,LMP2,20,3:38.206,+ 20.936,+ 2.969,224.804,,
29,29,29,30,25,LMP2,28,3:44.177,+ 26.907,+ 5.971,218.81599999999997,,
30,30,30,31,91,GTE Pro,2,3:47.504,+ 30.234,+ 3.327,215.61599999999999,,
31,31,31,32,92,GTE Pro,23,3:49.097,+ 31.827,+ 1.593,214.11700000000002,,
32,32,32,33,66,GTE Pro,26,3:49.181,+ 31.911,+ 0.084,214.03799999999998,,
33,33,33,34,68,GTE Pro,22,3:49.582,+ 32.312,+ 0.401,213.66400000000002,,
34,34,34,35,51,GTE Pro,26,3:49.854,+ 32.584,+ 0.272,213.41099999999997,,
35,35,35,36,94,GTE Pro,21,3:50.089,+ 32.819,+ 0.235,213.19400000000002,,
36,36,36,37,93,GTE Pro,18,3:50.261,+ 32.991,+ 0.172,213.03400000000002,,
37,37,37,38,67,GTE Pro,24,3:50.429,+ 33.159,+ 0.168,212.87900000000002,,
38,38,38,39,82,GTE Pro,24,3:50.579,+ 33.309,+ 0.150,212.74,,
39,39,39,40,69,GTE Pro,21,3:50.593,+ 33.323,+ 0.014,212.72799999999998,,
40,40,40,41,81,GTE Pro,26,3:50.596,+ 33.326,+ 0.003,212.725,,
41,41,41,42,71,GTE Pro,27,3:50.669,+ 33.399,+ 0.073,212.657,,
42,42,42,43,88,GTE Am,25,3:50.728,+ 33.458,+ 0.059,212.60299999999998,,
43,43,43,44,63,GTE Pro,23,3:50.789,+ 33.519,+ 0.061,212.547,,
44,44,44,45,64,GTE Pro,27,3:50.952,+ 33.682,+ 0.163,212.39700000000002,,
45,45,45,46,77,GTE Am,23,3:51.930,+ 34.660,+ 0.978,211.50099999999998,,
46,46,46,47,52,GTE Pro,27,3:52.112,+ 34.842,+ 0.182,211.335,,
47,47,47,48,97,GTE Pro,26,3:52.486,+ 35.216,+ 0.374,210.995,,
48,48,48,49,86,GTE Am,24,3:52.517,+ 35.247,+ 0.031,210.967,,
49,49,49,50,54,GTE Am,27,3:52.756,+ 35.486,+ 0.239,210.75099999999998,,
50,50,50,51,56,GTE Am,19,3:52.985,+ 35.715,+ 0.229,210.544,,
51,51,51,52,85,GTE Am,18,3:54.000,+ 36.730,+ 1.015,209.63,,
52,52,52,53,98,GTE Am,26,3:54.307,+ 37.037,+ 0.307,209.356,,
53,53,53,54,84,GTE Am,24,3:54.384,+ 37.114,+ 0.077,209.287,,
54,54,54,55,95,GTE Pro,26,3:54.780,+ 37.510,+ 0.396,208.93400000000003,,
55,55,55,56,70,GTE Am,26,3:54.951,+ 37.681,+ 0.171,208.782,,
56,56,56,57,61,GTE Am,28,3:55.076,+ 37.806,+ 0.125,208.671,,
57,57,57,58,80,GTE Am,21,3:55.569,+ 38.299,+ 0.493,208.234,,
58,58,58,59,90,GTE Am,21,3:55.661,+ 38.391,+ 0.092,208.153,,
59,59,59,60,99,GTE Am,12,4:03.107,+ 45.837,+ 7.446,201.77700000000002,,
