,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,1,7,Toyota Gazoo Racing,Mike Conway/Kamui Kobayashi/Jose Maria Lopez/,LMP1,25.0,3:17.161,,,248.799,,
1,2,17,SMP Racing,Stéphane Sarrazin/Egor Orudzhev/Sergey Sirotkin/,LMP1,23.0,3:17.633,+ 0.472,+ 0.472,248.205,,
2,3,3,Rebellion Racing,Thomas Laurent/Nathanaël Berthon/Gustavo Menezes/,LMP1,19.0,3:19.603,+ 2.442,+ 1.970,245.755,,
3,4,8,Toyota Gazoo Racing,Sébastien Buemi/Kazuki Nakajima/Fernando Alonso/,LMP1,30.0,3:19.632,+ 2.471,+ 0.029,245.72,,
4,5,10,DragonSpeed,Henrik Hedman/Ben Hanley/Renger van der Zande/,LMP1,9.0,3:20.200,+ 3.039,+ 0.568,245.02200000000002,,
5,6,11,SMP Racing,Vitaly Petrov/Mikhail Aleshin/Stoffel Vandoorne/,LMP1,19.0,3:20.934,+ 3.773,+ 0.734,244.127,,
6,7,4,ByKOLLES Racing Team,Tom Dillmann/Oliver Webb/Paolo Ruberti/,LMP1,21.0,3:25.246,+ 8.085,+ 4.312,238.99900000000002,,
7,8,31,DragonSpeed,Roberto González/Pastor Maldonado/Anthony Davidson/,LMP2,22.0,3:26.804,+ 9.643,+ 1.558,237.19799999999998,,
8,9,36,Signatech Alpine Matmut,Nicolas Lapierre/André Negrão/Pierre Thiriet/,LMP2,24.0,3:26.935,+ 9.774,+ 0.131,237.048,,
9,10,22,United Autosports,Philip Hanson/Filipe Albuquerque/Paul di Resta/,LMP2,28.0,3:27.338,+ 10.177,+ 0.403,236.58700000000002,,
10,11,48,Idec Sport Racing,Paul Lafargue/Paul Loup Chatin/Memo Rojas/,LMP2,24.0,3:27.847,+ 10.686,+ 0.509,236.00799999999998,,
11,12,30,Duqueine Engineering,Nicolas Jamin/Pierre Ragues/Romain Dumas/,LMP2,17.0,3:28.653,+ 11.492,+ 0.806,235.09599999999998,,
12,13,38,Jackie Chan DC Racing,Ho-Pin Tung/Stéphane Richelmi/Gabriel Aubry/,LMP2,26.0,3:28.738,+ 11.577,+ 0.085,235.0,,
13,14,28,TDS Racing,François Perrodo/Matthieu Vaxiviere/Loïc Duval/,LMP2,24.0,3:28.840,+ 11.679,+ 0.102,234.886,,
14,15,29,Racing Team Nederland,Frits van Eerd/Giedo van der Garde/Nyck de Vries/,LMP2,28.0,3:28.909,+ 11.748,+ 0.069,234.808,,
15,16,26,G-Drive Racing,Roman Rusinov/Job van Uitert/Jean-Eric Vergne/,LMP2,28.0,3:29.107,+ 11.946,+ 0.198,234.58599999999998,,
16,17,25,Algarve Pro Racing,David Zollinger/Andrea Pizzitola/John Falb/,LMP2,28.0,3:29.126,+ 11.965,+ 0.019,234.56400000000002,,
17,18,37,Jackie Chan DC Racing,David Heinemeier Hansson/Jordan King/Ricky Taylor/,LMP2,30.0,3:29.498,+ 12.337,+ 0.372,234.148,,
18,19,32,United Autosports,Ryan Cullen/Alex Brundle/Will Owen/,LMP2,24.0,3:29.583,+ 12.422,+ 0.085,234.053,,
19,20,47,Cetilar Villorba Corse,Roberto Lacorte/Giorgio Sernagiotto/Andrea Belicchi/,LMP2,23.0,3:29.748,+ 12.587,+ 0.165,233.86900000000003,,
20,21,23,Panis Barthez Competition,René Binder/Julien Canal/Will Stevens/,LMP2,28.0,3:29.821,+ 12.660,+ 0.073,233.787,,
21,22,34,Inter Europol Competition,Jakub Smiechowski/James Winslow/Nigel Moore/,LMP2,27.0,3:30.744,+ 13.583,+ 0.923,232.763,,
22,23,39,Graff,Tristan Gommendy/Vincent Capillaire/Jonathan Hirschi/,LMP2,23.0,3:30.970,+ 13.809,+ 0.226,232.514,,
23,24,43,RLR M Sport/Tower Events,John Farano/Arjun Maini/Norman Nato/,LMP2,25.0,3:31.017,+ 13.856,+ 0.047,232.46200000000002,,
24,25,20,High Class Racing,Anders Fjordbach/Dennis Andersen/Mathias Beche/,LMP2,21.0,3:32.945,+ 15.784,+ 1.928,230.358,,
25,26,49,ARC Bratislava,Miroslav Konopka/Henning Enqvist/Konstantin Tereschenko/,LMP2,25.0,3:35.480,+ 18.319,+ 2.535,227.648,,
26,27,50,Larbre Compétition,Erwin Creed/Romano Ricci/Nick Boulle/,LMP2,16.0,3:38.663,+ 21.502,+ 3.183,224.334,,
27,28,67,Ford Chip Ganassi Team UK,Andy Priaulx/Harry Tincknell/Jonathan Bomarito/,GTE Pro,23.0,3:49.530,+ 32.369,+ 10.867,213.713,,
28,29,93,Porsche GT Team,Patrick Pilet/Earl Bamber/Nick Tandy/,GTE Pro,23.0,3:49.558,+ 32.397,+ 0.028,213.687,,
29,30,97,Aston Martin Racing,Maxime Martin/Alex Lynn/Jonathan Adam/,GTE Pro,27.0,3:50.037,+ 32.876,+ 0.479,213.24200000000002,,
30,31,91,Porsche GT Team,Richard Lietz/Gianmaria Bruni/Frédéric Makowiecki/,GTE Pro,25.0,3:50.099,+ 32.938,+ 0.062,213.18400000000003,,
31,32,94,Porsche GT Team,Sven Müller/Mathieu Jaminet/Dennis Olsen/,GTE Pro,25.0,3:50.278,+ 33.117,+ 0.179,213.019,,
