,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,1,8,Toyota Gazoo Racing,Sébastien Buemi/Kazuki Nakajima/Fernando Alonso/,LMP1,385.0,24:00:10.574,,,218.55700000000002,,
1,2,7,Toyota Gazoo Racing,Mike Conway/Kamui Kobayashi/Jose Maria Lopez/,LMP1,385.0,24:00:27.546,+ 16.972,+ 16.972,218.514,,
2,3,11,SMP Racing,Vitaly Petrov/Mikhail Aleshin/Stoffel Vandoorne/,LMP1,379.0,24:00:47.948,6 Laps,6 Laps,215.05700000000002,,
3,4,1,Rebellion Racing,Neel Jani/André Lotterer/Bruno Senna/,LMP1,376.0,24:01:52.069,9 Laps,3 Laps,213.197,,
4,5,3,Rebellion Racing,Thomas Laurent/Nathanaël Berthon/Gustavo Menezes/,LMP1,370.0,24:01:23.474,15 Laps,6 Laps,209.864,,
5,6,36,Signatech Alpine Matmut,Nicolas Lapierre/André Negrão/Pierre Thiriet/,LMP2,368.0,24:02:30.436,17 Laps,2 Laps,208.56799999999998,,
6,7,38,Jackie Chan DC Racing,Ho-Pin Tung/Stéphane Richelmi/Gabriel Aubry/,LMP2,367.0,24:01:11.901,18 Laps,1 Lap,208.19,,
7,8,28,TDS Racing,François Perrodo/Matthieu Vaxiviere/Loïc Duval/,LMP2,366.0,24:00:40.659,19 Laps,1 Lap,207.69799999999998,,
8,9,22,United Autosports,Philip Hanson/Filipe Albuquerque/Paul di Resta/,LMP2,365.0,24:00:53.907,20 Laps,1 Lap,207.09900000000002,,
9,10,48,Idec Sport Racing,Paul Lafargue/Paul Loup Chatin/Memo Rojas/,LMP2,364.0,24:00:35.435,21 Laps,1 Lap,206.576,,
10,11,26,G-Drive Racing,Roman Rusinov/Job van Uitert/Jean-Eric Vergne/,LMP2,364.0,24:01:00.288,21 Laps,+ 24.853,206.516,,
11,12,30,Duqueine Engineering,Nicolas Jamin/Pierre Ragues/Romain Dumas/,LMP2,363.0,24:00:28.815,22 Laps,1 Lap,206.024,,
12,13,23,Panis Barthez Competition,René Binder/Julien Canal/Will Stevens/,LMP2,362.0,24:00:19.203,23 Laps,1 Lap,205.479,,
13,14,39,Graff,Tristan Gommendy/Vincent Capillaire/Jonathan Hirschi/,LMP2,362.0,24:00:20.133,23 Laps,+ 0.930,205.477,,
14,15,25,Algarve Pro Racing,David Zollinger/Andrea Pizzitola/John Falb/,LMP2,357.0,24:03:32.245,28 Laps,5 Laps,202.19,,
15,16,20,High Class Racing,Anders Fjordbach/Dennis Andersen/Mathias Beche/,LMP2,356.0,24:02:59.659,29 Laps,1 Lap,201.699,,
16,17,50,Larbre Compétition,Erwin Creed/Romano Ricci/Nick Boulle/,LMP2,355.0,24:01:24.643,30 Laps,1 Lap,201.35299999999998,,
17,18,47,Cetilar Villorba Corse,Roberto Lacorte/Giorgio Sernagiotto/Andrea Belicchi/,LMP2,352.0,24:02:34.882,33 Laps,3 Laps,199.49,,
18,19,32,United Autosports,Ryan Cullen/Alex Brundle/Will Owen/,LMP2,348.0,24:00:23.515,37 Laps,4 Laps,197.523,,
19,20,51,AF Corse,Alessandro Pier Guidi/James Calado/Daniel Serra/,GTE Pro,342.0,24:00:29.469,43 Laps,6 Laps,194.104,,
20,21,91,Porsche GT Team,Richard Lietz/Gianmaria Bruni/Frédéric Makowiecki/,GTE Pro,342.0,24:01:18.662,43 Laps,+ 49.193,193.993,,
21,22,93,Porsche GT Team,Patrick Pilet/Earl Bamber/Nick Tandy/,GTE Pro,342.0,24:01:36.626,43 Laps,+ 17.964,193.953,,
22,23,67,Ford Chip Ganassi Team UK,Andy Priaulx/Harry Tincknell/Jonathan Bomarito/,GTE Pro,342.0,24:03:52.597,43 Laps,+ 2:15.971,193.649,,
23,24,69,Ford Chip Ganassi Team USA,Ryan Briscoe/Richard Westbrook/Scott Dixon/,GTE Pro,341.0,24:02:12.468,44 Laps,1 Lap,193.30599999999998,,
24,25,66,Ford Chip Ganassi Team UK,Stefan Mücke/Olivier Pla/Billy Johnson/,GTE Pro,340.0,24:00:51.196,45 Laps,1 Lap,192.92,,
25,26,29,Racing Team Nederland,Frits van Eerd/Giedo van der Garde/Nyck de Vries/,LMP2,340.0,24:02:48.518,45 Laps,+ 1:57.322,192.65900000000002,,
26,27,94,Porsche GT Team,Sven Müller/Mathieu Jaminet/Dennis Olsen/,GTE Pro,339.0,24:00:34.560,46 Laps,1 Lap,192.39,,
27,28,63,Corvette Racing,Jan Magnussen/Antonio García/Mike Rockenfeller/,GTE Pro,337.0,24:01:57.941,48 Laps,2 Laps,191.07,,
28,29,92,Porsche GT Team,Michael Christensen/Kévin Estre/Laurens Vanthoor/,GTE Pro,337.0,24:03:55.044,48 Laps,+ 1:57.103,190.812,,
29,30,82,BMW Team MTEK,Augusto Farfus/António Félix da Costa/Jesse Krohn/,GTE Pro,335.0,24:00:26.780,50 Laps,2 Laps,190.137,,
30,31,56,Team Project 1,Jörg Bergmeister/Patrick Lindsey/Egidio Perfetti/,GTE Am,334.0,24:03:05.045,51 Laps,1 Lap,189.22299999999998,,
31,32,84,JMW Motorsport,Jeffrey Segal/Rodrigo Baptista/Wei Lu/,GTE Am,334.0,24:03:49.229,51 Laps,+ 44.184,189.12599999999998,,
32,33,62,WeatherTech Racing,Cooper MacNeil/Toni Vilander/Robert Smith/,GTE Am,333.0,24:03:05.409,52 Laps,1 Lap,188.655,,
33,34,77,Dempsey-Proton Racing,Matt Campbell/Christian Ried/Julien Andlauer/,GTE Am,332.0,24:00:11.757,53 Laps,1 Lap,188.467,,
34,35,57,CarGuy Racing,Takeshi Kimura/Kei Cozzolino/Côme Ledogar/,GTE Am,332.0,24:02:13.057,53 Laps,+ 2:01.300,188.203,,
35,36,78,Proton Competition,Louis Prette Jr./Philippe Prette/Vincent Abril/,GTE Am,332.0,24:03:01.454,53 Laps,+ 48.397,188.097,,
36,37,61,Clearwater Racing,Luis Pérez-Companc/Matt Griffin/Matteo Cressoni/,GTE Am,331.0,24:01:48.090,54 Laps,1 Lap,187.69,,
37,38,86,Gulf Racing,Michael Wainwright/Ben Barker/Thomas Preining/,GTE Am,331.0,24:02:53.948,54 Laps,+ 1:05.858,187.547,,
38,39,83,Kessel Racing,Manuela Gostner/Rahel Frey/Michelle Gatting/,GTE Am,330.0,24:04:05.792,55 Laps,1 Lap,186.826,,
39,40,89,Risi Competizione,Luis Felipe Derani/Oliver Jarvis/Jules Gounon/,GTE Pro,329.0,24:02:43.517,56 Laps,1 Lap,186.43599999999998,,
40,41,70,MR Racing,Motoaki Ishikawa/Olivier Beretta/Eddie Cheever III/,GTE Am,328.0,24:03:51.293,57 Laps,1 Lap,185.72400000000002,,
41,42,90,TF Sport,Salih Yoluc/Euan Hankey/Charlie Eastwood/,GTE Am,327.0,24:02:36.061,58 Laps,1 Lap,185.31900000000002,,
42,43,54,Spirit of Race,Thomas Flohr/Francesco Castellacci/Giancarlo Fisichella/,GTE Am,327.0,24:04:58.415,58 Laps,+ 2:22.354,185.015,,
43,44,97,Aston Martin Racing,Maxime Martin/Alex Lynn/Jonathan Adam/,GTE Pro,325.0,24:00:42.319,60 Laps,2 Laps,184.428,,
44,45,34,Inter Europol Competition,Jakub Smiechowski/James Winslow/Nigel Moore/,LMP2,325.0,24:02:12.317,60 Laps,+ 1:29.998,184.236,,
45,46,60,Kessel Racing,Claudio Schiavoni/Sergio Pianezzola/Andrea Piccini/,GTE Am,324.0,24:04:05.536,61 Laps,1 Lap,183.429,,
46,47,81,BMW Team MTEK,Nick Catsburg/Martin Tomczyk/Philipp Eng/,GTE Pro,309.0,24:00:26.754,76 Laps,15 Laps,175.38,,
47,NC,43,RLR M Sport/Tower Events,John Farano/Arjun Maini/Norman Nato/,LMP2,295.0,20:09:42.073,,,199.37099999999998,,
48,DNF,31,DragonSpeed,Roberto González/Pastor Maldonado/Anthony Davidson/,LMP2,245.0,16:09:29.728,,,206.604,,
49,DNF,37,Jackie Chan DC Racing,David Heinemeier Hansson/Jordan King/Ricky Taylor/,LMP2,199.0,13:17:51.879,,,203.912,,
50,DNF,17,SMP Racing,Stéphane Sarrazin/Egor Orudzhev/Sergey Sirotkin/,LMP1,163.0,10:18:13.785,,,215.554,,
51,DNF,4,ByKOLLES Racing Team,Tom Dillmann/Oliver Webb/Paolo Ruberti/,LMP1,163.0,12:53:14.155,,,172.343,,
52,DNF,49,ARC Bratislava,Miroslav Konopka/Henning Enqvist/Konstantin Tereschenko/,LMP2,160.0,13:32:48.155,,,160.936,,
53,DNF,71,AF Corse,Davide Rigon/Sam Bird/Miguel Molina/,GTE Pro,140.0,9:54:48.259,,,192.43,,
54,DNF,95,Aston Martin Racing,Nicki Thiim/Marco Sørensen/Darren Turner/,GTE Pro,132.0,9:18:25.054,,,193.25599999999997,,
55,DNF,98,Aston Martin Racing,Paul Dalla Lana/Pedro Lamy/Mathias Lauda/,GTE Am,87.0,7:01:33.766,,,168.72299999999998,,
56,DNF,64,Corvette Racing,Oliver Gavin/Tommy Milner/Marcel Fässler/,GTE Pro,82.0,5:36:00.286,,,199.52,,
57,DNF,88,Dempsey-Proton Racing,Satoshi Hoshino/Giorgio Roda/Matteo Cairoli/,GTE Am,79.0,6:28:27.584,,,166.264,,
58,DNF,10,DragonSpeed,Henrik Hedman/Ben Hanley/Renger van der Zande/,LMP1,76.0,8:30:14.175,,,121.77600000000001,,
59,DSQ,68,Ford Chip Ganassi Team USA,Joey Hand/Dirk Muller/Sebastien Bourdais/,GTE Pro,,,,,,,
60,DSQ,85,Keating Motorsports,Ben Keating/Jeroen Bleekemolen/Felipe Fraga/,GTE Am,,,,,,,
